getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
19030, 1264542521.946636, 10296001, 0.406271, 0.002399, 192512, 50, 0, 1, 240
19034, 1264542521.953707, 50146001, 0.393745, 0.001694, 192512, 20, 0, 1, 204
19030, 1264542521.960987, 10299001, 0.410501, 0.002417, 192512, 51, 0, 1, 242
19028, 1264542521.961010, 0, 0.001102, 0.004348, 360448, 0, 145, 133, 11
19033, 1264542521.961611, 40147001, 0.360504, 0.001421, 192512, 24, 0, 1, 162
19034, 1264542521.969067, 50148001, 0.399024, 0.001713, 192512, 21, 0, 1, 206
19034, 1264542521.977243, 50151001, 0.407094, 0.001748, 192512, 22, 0, 1, 211
19031, 1264542521.983834, 20205001, 0.376135, 0.001788, 192512, 25, 0, 1, 198
19033, 1264542521.990681, 40150001, 0.367983, 0.001441, 192512, 25, 0, 1, 163
19028, 1264542521.990708, 0, 0.001124, 0.004404, 360448, 0, 150, 138, 11
19030, 1264542522.008523, 10318001, 0.436390, 0.002520, 192512, 52, 0, 1, 257
19034, 1264542522.015183, 50157001, 0.423271, 0.001834, 192512, 23, 0, 1, 222
19033, 1264542522.016821, 40152001, 0.372912, 0.001457, 192512, 26, 0, 1, 164
19032, 1264542522.044579, 30165001, 0.359385, 0.001358, 192512, 23, 0, 1, 148
19031, 1264542522.046799, 20211001, 0.386642, 0.001846, 192512, 26, 0, 1, 202
19028, 1264542522.046833, 0, 0.001151, 0.004480, 360448, 0, 155, 143, 11
19031, 1264542522.048720, 20212001, 0.388513, 0.001860, 192512, 27, 0, 1, 203
19031, 1264542522.052102, 20214001, 0.391888, 0.001868, 192512, 28, 0, 1, 203
19030, 1264542522.065798, 10335001, 0.459797, 0.002630, 192512, 53, 0, 1, 268
19030, 1264542522.070098, 10338001, 0.464033, 0.002657, 192512, 54, 0, 1, 271
19032, 1264542522.071144, 30168001, 0.365634, 0.001380, 192512, 24, 0, 1, 149
19028, 1264542522.071170, 0, 0.001172, 0.004531, 360448, 0, 160, 148, 11
19030, 1264542522.071958, 10339001, 0.465424, 0.002677, 192512, 55, 0, 1, 273
19030, 1264542522.089026, 10344001, 0.472366, 0.002706, 192512, 56, 0, 1, 276
19032, 1264542522.099971, 30172001, 0.374342, 0.001402, 192512, 25, 0, 1, 152
19032, 1264542522.106637, 30175001, 0.380987, 0.001413, 192512, 26, 0, 1, 153
19030, 1264542522.111550, 10353001, 0.484756, 0.002735, 192512, 57, 0, 1, 279
19028, 1264542522.111574, 0, 0.001192, 0.004578, 360448, 0, 165, 153, 11
19031, 1264542522.124403, 20226001, 0.413806, 0.001892, 192512, 29, 0, 1, 206
19030, 1264542522.126405, 10356001, 0.488826, 0.002751, 192512, 58, 0, 1, 280
19033, 1264542522.130896, 40165001, 0.405160, 0.001538, 192512, 27, 0, 1, 178
19032, 1264542522.137680, 30180001, 0.391831, 0.001435, 192512, 27, 0, 1, 156
19031, 1264542522.139386, 20232001, 0.424694, 0.001937, 192512, 30, 0, 1, 212
19028, 1264542522.139410, 0, 0.001211, 0.004627, 360448, 0, 170, 158, 11
19032, 1264542522.160927, 30186001, 0.405050, 0.001451, 192512, 28, 0, 1, 158
19031, 1264542522.169277, 20248001, 0.454414, 0.002006, 192512, 31, 0, 1, 221
19034, 1264542522.174884, 50178001, 0.480049, 0.002091, 192512, 24, 0, 1, 268
