Overall totals by port
TOTAL        bytes:    376734980  pkts:    1829725  conns:    98686  tput:      102 B/s
Port  1174   bytes:       125392  pkts:        223  conns:       12  tput:        0 B/s
Port  1175   bytes:       164448  pkts:        357  conns:       16  tput:        0 B/s
Port  1176   bytes:        18297  pkts:        114  conns:       14  tput:        0 B/s
Port  1177   bytes:        15321  pkts:        119  conns:       11  tput:        0 B/s
Port  1178   bytes:        16679  pkts:        128  conns:       13  tput:        0 B/s
Port  1179   bytes:        62888  pkts:        275  conns:       19  tput:        0 B/s
Port  1180   bytes:        16995  pkts:        159  conns:       20  tput:        0 B/s
Port  1181   bytes:        63087  pkts:        226  conns:       16  tput:        0 B/s
Port  1182   bytes:        25717  pkts:        195  conns:       22  tput:        0 B/s
Port  1183   bytes:        15732  pkts:        124  conns:       14  tput:        0 B/s
Port  1184   bytes:        37604  pkts:        214  conns:       13  tput:        0 B/s
Port  1185   bytes:        15895  pkts:        153  conns:       18  tput:        0 B/s
Port  1186   bytes:        57214  pkts:        245  conns:       15  tput:        0 B/s
Port  1187   bytes:        19859  pkts:        162  conns:       17  tput:        0 B/s
Port  1188   bytes:       159720  pkts:        303  conns:       11  tput:        0 B/s
Port  1189   bytes:        13144  pkts:         91  conns:       16  tput:        0 B/s
Port  1190   bytes:        31216  pkts:        206  conns:       17  tput:        0 B/s
Port  1191   bytes:        30923  pkts:        195  conns:       13  tput:        0 B/s
Port  1192   bytes:        29187  pkts:        200  conns:       15  tput:        0 B/s
Port  1193   bytes:        10715  pkts:         93  conns:       12  tput:        0 B/s
Port  1194   bytes:        18191  pkts:        273  conns:        9  tput:        0 B/s
Port  1195   bytes:        17970  pkts:        115  conns:       10  tput:        0 B/s
Port  1196   bytes:        26411  pkts:        163  conns:       13  tput:        0 B/s
Port  1197   bytes:        22109  pkts:        146  conns:       16  tput:        0 B/s
Port  1198   bytes:        12742  pkts:         85  conns:        8  tput:        0 B/s
Port  1199   bytes:        27911  pkts:        133  conns:        9  tput:        0 B/s
Port  1200   bytes:         8931  pkts:         79  conns:       12  tput:        0 B/s
Port  1201   bytes:        16196  pkts:        145  conns:       15  tput:        0 B/s
Port  1202   bytes:        25776  pkts:        215  conns:       21  tput:        0 B/s
Port  1203   bytes:        13075  pkts:        108  conns:       11  tput:        0 B/s
Port  1204   bytes:         8597  pkts:         70  conns:       12  tput:        0 B/s
